年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,GPS座標X,GPS座標
2016,8,2,18,25,臺南市,北區,,,大興街,,325,,,,中華北路,一,,78巷口,,,,,,120.18661,23.00878
2016,8,2,11,30,臺南市,南區,,,健康路,二,,,273,,,,,,,,,,,120.18765,22.98143
2016,8,2,12,55,臺南市,中西區,,,民權路,三,,,375,,,,,,,,,,,120.18945,22.9986
2016,8,2,15,10,臺南市,南區,,,金華路,一,336,,,,,,,,,,,,,120.19038,22.9697
2016,8,2,17,10,臺南市,北區,,,文賢路,,520,,,,,,,,,,,,,120.19369,23.00712
2016,8,2,19,15,臺南市,北區,,,文賢一路,,,,128,,,,,,,,,,,120.19604,23.00901
2016,8,2,8,58,臺南市,中西區,,,民族路,三,,,106,,,,,,,,,,,120.19722,22.99877
2016,8,2,13,38,臺南市,中西區,,,海安路,二,236,,,,,,,,,,,,,120.19758,22.99763
2016,8,2,16,50,臺南市,北區,,,臨安路,二,90,,,,康樂街,,,,,,,,,120.19821,23.00283
2016,8,2,12,55,臺南市,中西區,,,永福路,二,,,187,,,,,,,,,,,120.20168,22.99519
2016,8,2,12,0,臺南市,北區,,,西門路,三,,,,,公園南路,,,,,,,,,120.20331,23.00243
2016,8,2,15,30,臺南市,西港區,慶安里,,,,,,,,,,,,臺19線,129,500,南,外側,120.20352,23.11194
2016,8,2,15,8,臺南市,中西區,,,府前路,一,,,181,,,,,,,,,,,120.20523,22.989
2016,8,2,7,40,臺南市,北區,,,西門路,四,330,,,,西門路,四,,,,,,,,120.20941,23.01344
2016,8,2,19,8,臺南市,北區,,,成功路,,,,,,西華街,,,,,,,,,120.21103,22.99734
2016,8,2,19,30,臺南市,東區,,,大同路,一,,,,,,,,五妃街口,,,,,,120.21188,22.98246
2016,8,2,16,33,臺南市,東區,,,北門路,一,,,,,民族路,,,,,,,,,120.21208,22.9945
2016,8,2,17,50,臺南市,永康區,甲頂里,,中華路,,,,,,中央路,,,,,,,,,120.21592,23.02334
2016,8,2,8,20,臺南市,東區,,,大同路,二,,,,,國民路,,,,,,,,,120.21595,22.96755
2016,8,2,12,45,臺南市,東區,,,樹林街,一,,,,,府連路,,,,,,,,,120.21691,22.98554
2016,8,2,8,55,臺南市,東區,,,勝利路,,,,,,,,,54號停車格,,,,,,120.21788,22.99155
2016,8,2,15,44,臺南市,東區,,,崇德路,,,,,,崇明四街,,,,,,,,,120.21795,22.98072
2016,8,2,5,50,臺南市,東區,,,林森路,一,,,350,,,,,,,,,,,120.22157,22.98484
2016,8,2,10,2,臺南市,東區,,,崇明路,,,,,,崇明十二街,,,,,,,,,120.22261,22.97483
2016,8,2,11,0,臺南市,北區,,,大武街,,597,72,,,,,,與正新街17巷口,,,,,,120.22303,23.01878
2016,8,2,10,35,臺南市,東區,,,崇明路,,,,387,,,,,,,,,,,120.22364,22.97388
2016,8,2,10,15,臺南市,安定區,大同里,,,,,,,,,,,牛肉寮31-6號前,,,,,,120.22429,23.07454
2016,8,2,19,50,臺南市,東區,,,仁和路,,111,,,,,,,,,,,,,120.22478,22.99847
2016,8,2,18,15,臺南市,永康區,,,中華路,,,,800,,,,,,,,,,,120.22541,23.01797
2016,8,2,16,13,臺南市,東區,,,中華東路,三,,,,,,,,,,,,,,120.22716,22.97839
2016,8,2,17,3,臺南市,永康區,,,大橋一街,,247,,,,大橋二街,,,,,,,,,120.23106,23.02121
2016,8,2,10,50,臺南市,東區,,,東門路,三,,,,,東成街,,,,,,,,,120.23129,22.97962
2016,8,2,20,15,臺南市,安南區,,,環館路,,,,,,,,,與環館五路,,,,,,120.23178,23.06273
2016,8,2,16,20,臺南市,東區,,,生產路,,,,624,,,,,,,,,,,120.2324,22.96593
2016,8,2,17,58,臺南市,東區,,,中華東路,一,,,,,東平路,,,,,,,,,120.23429,22.99464
2016,8,2,23,35,臺南市,永康區,鹽行里,,中正南路,,,,,,正南五街,,,,,,,,,120.23439,23.03891
2016,8,2,17,5,臺南市,永康區,東橋里,,東橋一路,,,,,,東橋二街,,,,,,,,,120.23501,23.01704
2016,8,2,11,23,臺南市,東區,,,富農街,一,,,298,,,,,,,,,,,120.2356,22.98481
