區,系,項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,,
處,統,檢驗項目,氟鹽(Fluoride),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),糞便性大腸桿菌群(Fecal coliform),砷(Arsenic),自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),水質合格否(Y/N),
別,代,飲用水水質標準,0.8,10.0,500,－－,0.01,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,300,0.3,0.05,100,6,0.08,0.01,0.01,0.002,5.0,0.05,1.0,0.05,0.1,0.005,2.0,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.3,0.01,－－,
,號,單位,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－,
三區,'0308,="桃山淨水場(Taoshan)新竹縣五峰鄉桃山村桃山1號[0341066]{0308}<新竹縣市>",="0.07",="2.26",="169",="－－",="0.00020",="0.71",="0.15",="<5",="<1",="106",="8.3",="4.0",="12.6",="ND",="<0.01",="111",="0.01",="0.002",="2",="<1",="0.00241",="ND",="ND",="ND",="0.0532",="ND",="0.00094",="ND",="ND",="ND",="0.0176",="ND",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00003",="ND",="ND",="ND",="ND",="ND",="0.0161",="ND",="Y",
三區,'0309,="內灣淨水場(Neiwan)新竹縣橫山鄉內灣村231之10號[0341075]{0309}<新竹縣市>",="0.10",="0.71",="176",="－－",="0.00019",="0.63",="0.50",="<5",="<1",="105",="8.1",="5.0",="24.3",="ND",="<0.01",="113",="0.02",="0.002",="3",="<1",="0.00800",="ND",="ND",="ND",="0.00647",="ND",="ND",="ND",="ND",="ND",="0.0215",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00004",="ND",="ND",="ND",="ND",="ND",="0.0613",="ND",="Y",
三區,'0305,="南坑淨水場(Nankeng)新竹縣北埔鄉南坑村大南坑7號[0341039]{0305}<新竹縣市>",="0.08",="0.71",="139",="－－",="0.00012",="0.67",="0.20",="<5",="<1",="72.9",="8.0",="4.5",="18.5",="ND",="<0.01",="81.4",="0.01",="0.001",="2",="<1",="0.00698",="ND",="ND",="ND",="ND",="ND",="ND",="0.00157",="ND",="ND",="0.0159",="ND",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0794",="ND",="Y",
三區,'0303,="尖石淨水場(Jianshih)新竹縣尖石鄉新樂村水田69號[0341093]{0303}<新竹縣市>",="0.06",="0.82",="82.2",="－－",="0.00013",="0.74",="0.10",="<5",="<1",="47.7",="8.0",="4.4",="6.5",="ND",="<0.01",="47.5",="<0.01",="0.001",="4",="<1",="0.0115",="ND",="ND",="ND",="0.0347",="ND",="ND",="ND",="ND",="ND",="0.00834",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00006",="ND",="ND",="ND",="ND",="ND",="0.0138",="ND",="Y",
三區,'0323,="芎林淨水場(Cyonglin)新竹縣芎林鄉石壁潭5鄰114號[0348038]{0323}<新竹縣市>",="0.15",="1.45",="228",="－－",="0.00041",="0.66",="0.15",="<5",="<1",="119",="7.6",="11.9",="23.9",="0.02",="<0.01",="137",="<0.01",="0.002",="1",="<1",="0.00107",="ND",="ND",="ND",="0.0107",="ND",="0.00076",="0.00193",="ND",="ND",="0.0258",="0.00013",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0101",="ND",="Y",
三區,'0304,="梅花淨水場(Meihua)新竹縣尖石鄉梅花村59之2號[0341106]{0304}<新竹縣市>",="0.08",="1.20",="111",="－－",="0.00011",="0.63",="0.20",="<5",="<1",="52.3",="8.0",="4.1",="19.0",="ND",="<0.01",="68.1",="0.02",="0.003",="2",="<1",="0.00118",="ND",="ND",="ND",="0.0637",="ND",="ND",="0.00119",="ND",="ND",="0.00625",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00008",="ND",="ND",="ND",="ND",="ND",="0.0139",="ND",="Y",
三區,'0311,="新埔淨水場(Sinpu)新竹縣新埔鎮上樟路1段158巷23號[0348047]{0311}<新竹縣市>",="0.13",="1.18",="237",="－－",="0.00051",="0.66",="0.15",="<5",="1",="114",="7.7",="17.4",="26.1",="0.04",="<0.01",="135",="0.01",="0.002",="1",="<1",="0.0216",="ND",="ND",="ND",="0.00836",="ND",="0.00075",="0.00151",="ND",="ND",="0.0279",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.00005",="ND",="ND",="ND",="ND",="ND",="0.120",="ND",="Y",
三區,'0324,="關西淨水場(Guansi)新竹縣關西鎮南山里渡船頭30號[0348056]{0324}<新竹縣市>",="0.11",="0.71",="205",="－－",="0.00057",="0.65",="0.35",="<5",="1",="106",="7.9",="9.9",="36.9",="0.03",="<0.01",="131",="0.02",="0.007",="1",="<1",="0.0190",="ND",="0.00105",="ND",="0.00584",="ND",="0.0273",="ND",="0.00544",="ND",="0.0209",="ND",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.182",="ND",="Y",
三區,'0315,="東興淨水場(Donsin)苗栗縣頭份鎮上興里水源路417巷14號[0364018]{0315}<苗栗縣>",="0.09",="0.44",="167",="<1",="0.00050",="0.79",="0.30",="<5",="<1",="88.3",="7.8",="7.1",="28.3",="0.03",="<0.01",="109",="0.03",="0.003",="1",="<1",="0.0143",="ND",="0.00146",="ND",="ND",="ND",="0.00334",="ND",="ND",="0.00016",="0.0185",="0.00014",="0.03",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.134",="ND",="Y",
三區,'0313,="明德淨水場(Minde)苗栗縣頭屋鄉明德村明德路151號[0345091]{0313}<苗栗縣>",="0.11",="0.50",="163",="<1",="0.00183",="0.84",="0.15",="<5",="1",="91.1",="7.5",="11.0",="17.7",="0.04",="ND",="100",="<0.01",="0.003",="<1",="<1",="0.0357",="ND",="ND",="ND",="0.0103",="ND",="0.00078",="ND",="0.00070",="ND",="0.0117",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="ND",="0.0979",="ND",="Y",
