年月,總編號,處理單位,處理編號,年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道,段,側,附近,道路,公里,公尺處,向,車道,平交道,公里,公尺處,附近,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,警局,分局,案件類別,事故類別,GPS座標X,GPS座標
10506,10506C00020038,CR91,10506CR000096,2016,6,2,23,5,臺南市,南區,,,明興路,,,,721,,,,,對面草叢,,,,,,,,,,0,1,0,8,3,5,50,11,9,1,5,4,5,7,4,4,3,4,5,1,19,43,C000,CR00,1,2,120.18084,22.93749
10506,10506C00020667,CZ91,10506CZ002850,2016,6,1,12,5,臺南市,仁德區,,,,,,,,,,,,中正路一段736號前,,,,,,,,,,0,2,0,8,1,5,50,14,8,1,5,4,5,7,4,4,7,4,4,1,3,23,C000,CZ00,1,2,120.24842,22.93943
10506,10506C00020387,CZ91,10506CZ000848,2016,6,11,7,57,臺南市,仁德區,成功里,,,,,,,,,,,台86南下機車&#24315;轉道涵洞前,,,,,,,,,,0,1,0,6,1,5,40,11,9,1,4,4,5,7,4,4,6,5,5,1,18,43,C000,CZ00,1,2,120.23973,22.94012
10506,10506C00020072,CZ91,10506CZ001213,2016,6,15,1,0,臺南市,歸仁區,,,中正南路,,,,,,,,,臺39線,,,,,,,,,,0,1,0,8,3,5,50,14,9,1,5,4,5,7,1,1,5,4,4,1,13,23,C000,CZ00,1,2,120.27719,22.94242
10506,10506C00020203,CR91,10506CR001417,2016,6,10,16,30,臺南市,南區,,,濱南路,,,,,,,,,(南濱75)電桿,,,,,,,,,,0,1,0,7,1,5,60,14,13,1,4,4,5,7,4,4,3,4,5,1,26,23,C000,CR00,1,2,120.17559,22.94275
10506,,CR91,10506CR003629,2016,6,27,10,5,臺南市,南區,,,鯤鯓路,,101,,,,濱南路,,北,,,,,,,,,,,0,1,0,8,1,5,60,3,2,1,5,4,5,7,1,1,1,4,4,1,17,10,C000,CR00,1,2,120.17569,22.94419
10506,,CZ91,10506CZ001642,2016,6,19,5,2,臺南市,仁德區,,,,,,,,,,,,中正路二段39號前,,,,,,,,,,0,1,0,8,2,5,50,14,13,1,5,4,5,7,4,4,5,4,4,1,26,22,C000,CZ00,1,2,120.25029,22.94463
10506,,CR91,10506CR002512,2016,6,25,5,20,臺南市,南區,,,喜明街,,,,,,,,,H9059924號路燈桿前,,,,,,,,,,0,1,0,8,2,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,19,43,C000,CR00,1,2,120.17736,22.94531
10506,,CZ91,10506CZ001799,2016,6,20,12,19,臺南市,仁德區,,,德南路,,,,211,,,,,,,,,,,,,,,0,2,0,8,1,5,50,4,2,1,5,4,5,7,4,4,4,5,5,1,16,8,C000,CZ00,1,2,120.25607,22.94598
10506,,CZ91,10506CZ002325,2016,6,16,10,0,臺南市,仁德區,成功里,,文華路,二,,,326,,,,,(仁德糖廠),,,,,,,,,,0,1,0,8,1,5,50,4,2,1,5,4,5,7,1,1,9,4,5,1,12,23,C000,CZ00,1,2,120.23166,22.94668
